Province,Local Authority,District,CONSTITUENCY,"WardNo.",Polling Stations,Facility,"DabengwaDumiso ZAPU","Mugabe RobertGabriel ZANUPF","MukwazheMunodeiKisinoti ZDP","NcubeWelshmanMDC","TsvangirayiMorgan  MDC-T","Total VotesRejected","Ballot PaperUnaccounted for",Total Votes Cast,"Total Valid VotesCast"
Mat North,Binga RDC,Binga,Binga North,1,Sizemba Primary,School,9,151,0,15,180,26,0,381,355
Mat North,Binga RDC,Binga,Binga North,1,Luunga Primary,School,0,70,2,33,99,15,0,219,204
Mat North,Binga RDC,Binga,Binga North,1,Sinamusanga primary,School,5,247,2,25,156,21,0,456,435
Mat North,Binga RDC,Binga,Binga North,1,Mujere DDF Camp,Tent,0,10,1,2,10,2,0,25,23
Mat North,Binga RDC,Binga,Binga North,1,Nsengwa Camp,Tent,1,34,0,0,12,0,0,47,47
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,2,Siabuwa Primary,School,4,160,2,27,155,18,0,366,348
Mat North,Binga RDC,Binga,Binga North,2,"Chabwidi BusinessCentre",Tent,1,205,1,1,31,32,0,271,239
Mat North,Binga RDC,Binga,Binga North,2,Kalonga Primary,School,4,22,5,42,277,22,0,372,350
Mat North,Binga RDC,Binga,Binga North,2,"Nakasako CommunityCentre",Tent,5,25,3,11,168,12,0,224,212
Mat North,Binga RDC,Binga,Binga North,2,Siabuwa High,School,6,78,6,23,167,24,0,304,280
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,3,Nagangala  Primary,School,14,80,10,39,301,27,0,471,444
Mat North,Binga RDC,Binga,Binga North,3,Sinampande Primary,School,7,122,1,31,318,68,0,547,479
Mat North,Binga RDC,Binga,Binga North,3,Zuulangubo Store,Tent,7,57,4,19,276,19,0,382,363
Mat North,Binga RDC,Binga,Binga North,3,Nsambala,Community Centr,3,28,2,27,177,14,0,251,237
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,4,Mucheni Primary,School,1,25,5,43,306,13,0,393,380
Mat North,Binga RDC,Binga,Binga North,4,Sinansengwe Primary,School,2,30,4,32,254,45,0,367,322
Mat North,Binga RDC,Binga,Binga North,4,"Sinansengwe BusinessCentre",Tent,1,31,3,10,49,15,0,109,94
Mat North,Binga RDC,Binga,Binga North,4,Chitete II Primary,School,0,17,0,10,75,1,0,103,102
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,5,Nsenga Pry,School,0,255,4,27,297,22,0,605,583
Mat North,Binga RDC,Binga,Binga North,5,Chininga Pry,School,2,96,1,12,221,30,0,362,332
Mat North,Binga RDC,Binga,Binga North,5,Dongamuse Pry,School,1,71,2,5,318,5,0,402,397
Mat North,Binga RDC,Binga,Binga North,5,Nsungwale Pry,School,2,53,2,25,155,36,0,273,237
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,6,Samende Pry,School,4,63,2,37,407,47,0,560,513
Mat North,Binga RDC,Binga,Binga North,6,Manjolo Secondary,School,1,31,2,22,291,12,0,359,347
Mat North,Binga RDC,Binga,Binga North,6,Musenampongo Pry,School,3,15,0,23,244,24,0,309,285
Mat North,Binga RDC,Binga,Binga North,6,Damba Pry,School,0,34,4,40,298,11,0,387,376
Mat North,Binga RDC,Binga,Binga North,6,Manjolo Creche,Pre School,1,41,1,14,385,16,0,458,442
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,7,Manjolo Pry,School,3,163,4,17,269,46,0,502,456
Mat North,Binga RDC,Binga,Binga North,7,Miita Community Centre,Tent,3,140,2,25,164,17,0,351,334
Mat North,Binga RDC,Binga,Binga North,7,Bulawayo Kraal Pry,School,6,175,10,37,273,33,0,534,501
Mat North,Binga RDC,Binga,Binga North,7,Nalubuyu Social Centre,Tent,3,87,2,7,172,15,0,286,271
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,8,Simatelele Pry,School,5,108,8,35,411,13,0,580,567
Mat North,Binga RDC,Binga,Binga North,8,"Sebungwe MouthPrimary",School,3,16,2,19,263,12,0,315,303
Mat North,Binga RDC,Binga,Binga North,8,"Simatelele Fishing CampTurn-off",Tent,3,46,5,21,317,29,0,421,392
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,9,Sianzyundu Secondary,School,2,278,4,26,554,23,0,887,864
Mat North,Binga RDC,Binga,Binga North,9,"Ndalisanga BusinessCentre",Tent,1,117,1,11,320,31,0,481,450
Mat North,Binga RDC,Binga,Binga North,9,Junamina Pry,School,0,107,1,17,186,27,0,338,311
Mat North,Binga RDC,Binga,Binga North,9,"Mangani BusinessCentre",Tent,0,148,0,13,284,39,0,484,445
Mat North,Binga RDC,Binga,Binga North,9,D D F Pool  Camp,Tent,1,35,0,13,137,12,0,198,186
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,10,Siachilaba  Pry,School,1,68,4,31,405,17,0,526,509
Mat North,Binga RDC,Binga,Binga North,10,Gaza Pry,School,0,32,1,15,299,12,0,359,347
Mat North,Binga RDC,Binga,Binga North,10,Bunsiwa,Pre School,3,48,0,11,225,18,0,305,287
Mat North,Binga RDC,Binga,Binga North,10,Nkalange prop clinic,Tent,1,43,1,6,118,30,0,199,169
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,11,Lubu Primary,School,4,102,3,16,252,24,0,401,377
Mat North,Binga RDC,Binga,Binga North,11,Lubu Business Centre,Tent,2,183,6,15,207,12,0,425,413
Mat North,Binga RDC,Binga,Binga North,11,"Clean Water CommunityCentre",Tent,0,46,2,8,89,4,0,149,145
Mat North,Binga RDC,Binga,Binga North,11,Chilelema Pry,School,1,60,3,13,232,28,0,337,309
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,12,Muchesu Primary,School,4,191,5,21,312,10,0,543,533
Mat North,Binga RDC,Binga,Binga North,12,Maacha -Pre school,Tent,1,31,1,4,140,4,0,181,177
Mat North,Binga RDC,Binga,Binga North,12,Manchinga,Tent,5,82,1,10,153,10,0,261,251
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,22,Siamupa Primary,School,13,263,5,37,364,39,0,721,682
Mat North,Binga RDC,Binga,Binga North,22,Sinamwenda Pry,School,4,107,0,6,95,14,0,226,212
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,23,Kalungwizi Pry,School,9,131,3,60,298,27,0,528,501
Mat North,Binga RDC,Binga,Binga North,23,Malube Pry,School,2,104,5,29,326,14,0,480,466
Mat North,Binga RDC,Binga,Binga North,23,Mulambe Pry,School,3,82,9,54,221,46,0,415,369
Mat North,Binga RDC,Binga,Binga North,23,Kkumbu Pry,School,1,84,7,22,82,14,0,210,196
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,24,Binga Library,Public Office,2,174,1,8,227,7,0,419,412
Mat North,Binga RDC,Binga,Binga North,24,Binga High,School,3,88,1,12,217,6,0,327,321
Mat North,Binga RDC,Binga,Binga North,24,Binga Pry,School,3,128,2,9,159,14,0,315,301
Mat North,Binga RDC,Binga,Binga North,24,Kulizwe Lodge,Shed,4,48,1,12,140,7,0,212,205
Mat North,Binga RDC,Binga,Binga North,24,Twiite Fishing Camp,Tent,0,15,0,7,53,5,0,80,75
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga South,13,Saba Pry,School,6,155,3,22,306,16,0,508,492
Mat North,Binga RDC,Binga,Binga South,13,Mupambe Pry,School,1,62,2,8,290,16,0,379,363
Mat North,Binga RDC,Binga,Binga South,13,Mlibizi Nat Park,Shed,0,56,2,8,54,4,0,124,120
Mat North,Binga RDC,Binga,Binga South,13,"Cross Chamber BusinessCentre Ndalipeda",Tent,1,166,6,10,249,22,0,454,432
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga South,14,Mulindi Pry,School,3,33,4,30,274,12,0,356,344
Mat North,Binga RDC,Binga,Binga South,14,Pashu Pry,School,16,189,11,41,479,20,0,756,736
Mat North,Binga RDC,Binga,Binga South,14,Cross Sikomena Pry,School,3,106,7,28,85,4,0,233,229
Mat North,Binga RDC,Binga,Binga South,14,Musazi Pry,School,22,133,7,35,102,13,0,312,299
Mat North,Binga RDC,Binga,Binga South,14,Chinonge Pry,School,3,55,8,52,264,7,0,389,382
Mat North,Binga RDC,Binga,Binga South,14,Siadindi Pry,School,9,108,1,46,239,10,0,413,403
Mat North,Binga RDC,Binga,Binga South,14,Nakapande Pry,School,3,65,2,13,103,6,0,192,186
Mat North,Binga RDC,Binga,Binga South,14,Muunde Pry,School,2,33,4,23,177,8,0,247,239
Mat North,Binga RDC,Binga,Binga South,14,Mabobolo Pry,School,7,92,5,52,284,21,0,461,440
Mat North,Binga RDC,Binga,Binga South,14,Kamalumbu Pry,School,0,25,1,3,46,1,0,76,75
Mat North,Binga RDC,Binga,Binga South,14,Simaliza pry,School,0,11,0,7,26,0,0,44,44
Mat North,Binga RDC,Binga,Binga South,14,Sichitumba Pry,School,24,141,0,13,52,10,0,240,230
Mat North,Binga RDC,Binga,Binga South,14,Kayongolo Pry,School,2,16,1,11,63,1,0,94,93
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga South,15,Kariangwe High,School,3,198,3,25,373,30,0,632,602
Mat North,Binga RDC,Binga,Binga South,15,Siansali Primary,School,4,69,6,12,196,30,0,317,287
Mat North,Binga RDC,Binga,Binga South,15,Manseme Pry,School,0,30,3,28,333,35,0,429,394
Mat North,Binga RDC,Binga,Binga South,15,Mbelele Centre,Tent,3,47,2,22,189,6,0,269,263
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga South,16,Sianungu,Tent,1,59,4,19,336,10,0,429,419
Mat North,Binga RDC,Binga,Binga South,16,Tobwe Pry,School,4,69,5,45,401,6,0,530,524
Mat North,Binga RDC,Binga,Binga South,16,Gwatagwata Pry,School,13,76,4,31,177,13,0,314,301
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga South,17,Lusulu High,School,10,191,5,43,204,7,0,460,453
Mat North,Binga RDC,Binga,Binga South,17,Kabuba Pry,School,11,131,11,57,312,9,0,531,522
Mat North,Binga RDC,Binga,Binga South,17,Sinamagonde Pry,School,9,133,5,35,128,30,0,340,310
Mat North,Binga RDC,Binga,Binga South,17,Nakaluba Pry,School,3,116,5,78,371,17,0,590,573
Mat North,Binga RDC,Binga,Binga South,17,Chuuzya Pry,School,8,121,4,40,324,11,0,508,497
Mat North,Binga RDC,Binga,Binga South,17,Springs Centre,School,3,92,3,16,56,7,0,177,170
Mat North,Binga RDC,Binga,Binga South,17,Dambwabansaka Comm,nTietyn tCentre,3,57,2,29,109,8,0,208,200
Mat North,Binga RDC,Binga,Binga South,17,Nsonkwa Pry,School,5,66,2,33,188,37,0,331,294
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga South,18,Old Tinde Road Turn Off,Tent,1,62,0,14,153,22,0,252,230
Mat North,Binga RDC,Binga,Binga South,18,Tinde Primary,School,12,180,2,39,320,18,0,571,553
Mat North,Binga RDC,Binga,Binga South,18,Simbala Primary,School,3,43,0,13,312,20,0,391,371
Mat North,Binga RDC,Binga,Binga South,18,Manzasiya Bus Stop,Tent,1,30,2,11,69,9,0,122,113
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga South,19,Chinego Pry,School,23,128,5,61,439,35,0,691,656
Mat North,Binga RDC,Binga,Binga South,19,Malaliya Pry,School,3,71,5,14,234,10,0,337,327
Mat North,Binga RDC,Binga,Binga South,19,Dungu  Business Centre,Tent,10,52,3,16,108,26,0,215,189
Mat North,Binga RDC,Binga,Binga South,19,Manyanda Pry,School,11,127,7,52,310,26,0,533,507
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga South,20,Lubimbi I Pry,School,2,108,4,34,348,19,0,515,496
Mat North,Binga RDC,Binga,Binga South,20,Lubimbi II pry,School,0,42,3,29,178,16,0,268,252
Mat North,Binga RDC,Binga,Binga South,20,Lubimbi Business Centre,Tent,4,36,3,28,280,14,0,365,351
Mat North,Binga RDC,Binga,Binga South,20,Kamombo Primary,School,12,59,4,53,193,18,0,339,321
Mat North,Binga RDC,Binga,Binga South,20,Kavunikwa Primary,Tent,1,21,0,22,119,10,0,173,163
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga South,21,Chibila Pry,School,35,191,9,68,189,7,0,499,492
Mat North,Binga RDC,Binga,Binga South,21,Chipale Pry,School,5,158,7,34,280,22,0,506,484
Mat North,Binga RDC,Binga,Binga South,21,Gwangwaliba Pry,School,4,211,4,26,164,10,0,419,409
Mat North,Binga RDC,Binga,Binga South,21,Zumanana Pry,School,12,143,5,29,115,12,0,316,304
Mat North,Binga RDC,Binga,Binga South,21,Chabuya  Primary,School,6,119,1,17,37,0,0,180,180
Mat North,Binga RDC,Binga,Binga South,21,Chisizya Primary,School,6,288,2,13,18,14,0,341,327
Mat North,Binga RDC,Binga,Binga South,21,Bemsee Pry,School,1,84,2,25,161,7,0,280,273
Mat North,Binga RDC,Binga,Binga South,21,"Mandimoni BusinessCentre",Tent,8,209,9,29,92,57,0,404,347
Mat North,Binga RDC,Binga,Binga South,21,"Zyakamana BusinessCentre",Tent,4,89,3,7,78,8,0,189,181
Mat North,Binga RDC,Binga,Binga South,21,Kkokkoloza Primary,School,1,139,3,19,82,8,0,252,244
Mat North,Binga RDC,Binga,Binga South,21,Ntivule East Primary,School,1,10,1,1,4,0,0,17,17
Mat North,Binga RDC,Binga,Binga South,21,Ntivule West Primary,School,2,25,2,4,15,3,0,51,48
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga South,25,Lubanda Pry,School,5,56,0,13,350,12,0,436,424
Mat North,Binga RDC,Binga,Binga South,25,Katete Pry,School,1,10,2,6,145,5,0,169,164
Mat North,Binga RDC,Binga,Binga South,25,Chasamba,Tent,4,35,1,6,216,8,0,270,262
Mat North,Binga RDC,Binga,Binga South,25,Makunku,Tent,2,116,3,14,230,13,0,378,365
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,1,Makhosini Primary,School,4,354,0,13,25,5,0,401,396
Mat North,Bubi RDC,Bubi,Bubi,1,Enaleni Pry,School,1,215,0,1,15,6,0,238,232
Mat North,Bubi RDC,Bubi,Bubi,1,Abantukuqala Primary,Tent,1,178,0,0,5,4,0,188,184
Mat North,Bubi RDC,Bubi,Bubi,1,Lonely Mine Hall,Hall,1,72,0,2,19,4,0,98,94
Mat North,Bubi RDC,Bubi,Bubi,1,Daburn Mine,Tent,2,82,0,4,54,15,0,157,142
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,2,Lukala Pry,School,8,168,3,36,142,35,0,392,357
Mat North,Bubi RDC,Bubi,Bubi,2,Siganda RG Sub Office,Tent,0,10,0,7,84,7,0,108,101
Mat North,Bubi RDC,Bubi,Bubi,2,Siganda Primary,School,4,32,0,28,156,12,0,232,220
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,3,Mbembeswana I Pry,School,9,325,6,63,388,30,0,821,791
Mat North,Bubi RDC,Bubi,Bubi,3,Bambanani Pry,School,1,34,0,15,65,4,0,119,115
Mat North,Bubi RDC,Bubi,Bubi,3,"Molo WejiwaHomestead",Tent,1,15,1,5,28,1,0,51,50
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,4,Majiji Primary,School,7,283,3,46,323,19,0,681,662
Mat North,Bubi RDC,Bubi,Bubi,4,Kokolombeni Primary,School,3,118,0,21,194,29,0,365,336
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,5,Ntobi Primary,School,4,116,1,10,87,9,0,227,218
Mat North,Bubi RDC,Bubi,Bubi,5,Ntobi Borehole,Tent,0,112,3,12,76,10,0,213,203
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,6,Hauke Primary,School,3,14,0,2,21,3,0,43,40
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,7,Hauke Project Centre,Tent,4,84,1,25,167,7,0,288,281
Mat North,Bubi RDC,Bubi,Bubi,7,Dulutsha Primary,School,4,76,0,43,144,19,0,286,267
Mat North,Bubi RDC,Bubi,Bubi,7,Siganda DDF Rest Camp,Tent,2,56,2,15,148,9,0,232,223
Mat North,Bubi RDC,Bubi,Bubi,7,Emkhonyeni Primary,School,0,51,1,6,17,4,0,79,75
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,8,Balanda Primary,School,3,198,1,13,122,15,0,352,337
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,9,Sijauke Primary,School,1,75,1,7,139,7,0,230,223
Mat North,Bubi RDC,Bubi,Bubi,9,Intuthuko Primary,School,0,41,0,0,24,3,0,68,65
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,10,Tshayile Primary,Tent,2,156,0,1,8,3,0,170,167
Mat North,Bubi RDC,Bubi,Bubi,10,Queens Mine Primary,School,7,170,0,19,219,17,0,432,415
Mat North,Bubi RDC,Bubi,Bubi,10,Ezintsheni Farm,Tent,0,47,1,0,9,2,0,59,57
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,11,Lortondale Primary,School,9,73,2,19,123,6,0,232,226
Mat North,Bubi RDC,Bubi,Bubi,11,Loziba Primary,School,8,286,4,29,156,15,0,498,483
Mat North,Bubi RDC,Bubi,Bubi,11,Tatazela Hall,Hall,13,306,5,26,310,17,0,677,660
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,12,Mvundla Primary,Tent,4,143,1,9,23,3,0,183,180
Mat North,Bubi RDC,Bubi,Bubi,12,Dromoland Primary,School,12,117,1,20,100,11,0,261,250
Mat North,Bubi RDC,Bubi,Bubi,12,Mambo Primary,School,4,94,1,6,10,2,0,117,115
Mat North,Bubi RDC,Bubi,Bubi,12,Nsangu Primary,School,6,75,2,2,10,3,0,98,95
Mat North,Bubi RDC,Bubi,Bubi,12,Shemars Farm,Tent,0,46,0,1,11,2,0,60,58
Mat North,Bubi RDC,Bubi,Bubi,12,Fairburns Primary,School,1,146,0,3,11,1,0,162,161
Mat North,Bubi RDC,Bubi,Bubi,12,Dysart Homestead,Tent,0,28,0,1,5,1,0,35,34
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,13,Gloag Primary,School,5,227,1,11,39,4,0,287,283
Mat North,Bubi RDC,Bubi,Bubi,13,Clonmore Homestead,Tent,3,103,0,3,9,7,0,125,118
Mat North,Bubi RDC,Bubi,Bubi,13,Allendale C,Tent,7,47,0,4,2,3,0,63,60
Mat North,Bubi RDC,Bubi,Bubi,13,Battlefield Primary,School,15,147,3,19,41,7,0,232,225
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,14,Majankila Primary,School,5,98,0,8,12,4,0,127,123
Mat North,Bubi RDC,Bubi,Bubi,14,Pedis Valley,Tent,0,47,0,3,7,2,0,59,57
Mat North,Bubi RDC,Bubi,Bubi,14,Rosebank Store,Tent,0,51,0,6,20,3,0,80,77
Mat North,Bubi RDC,Bubi,Bubi,14,Esipikeni Primary,School,3,159,0,7,12,10,0,191,181
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,15,Emhlangeni Primary,School,8,212,3,40,264,35,0,562,527
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,16,Inkosikazi Primary,School,3,115,6,22,270,17,9,433,416
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,17,Jiba Primary,School,5,135,1,30,175,9,0,355,346
Mat North,Bubi RDC,Bubi,Bubi,17,Sishawe Pry,School,1,100,0,9,50,8,0,168,160
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,18,Bembesi Primary,School,4,63,2,13,123,8,0,213,205
Mat North,Bubi RDC,Bubi,Bubi,18,Mbembeswana 2 Pry,School,1,76,2,18,212,9,0,318,309
Mat North,Bubi RDC,Bubi,Bubi,18,Molo Primary,Tent,2,56,5,12,73,6,0,154,148
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,19,Lukona Primary,Tent,8,129,0,21,198,14,0,370,356
Mat North,Bubi RDC,Bubi,Bubi,19,Longwe Primary,School,4,89,2,19,104,14,0,232,218
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,20,"Goodwood MagetsiniStore",Tent,6,219,1,4,26,6,0,262,256
Mat North,Bubi RDC,Bubi,Bubi,20,Thuthukani Primary,Tent,2,154,0,2,8,2,0,168,166
Mat North,Bubi RDC,Bubi,Bubi,20,Zamani Primary,Tent,1,242,1,0,9,10,0,263,253
Mat North,Bubi RDC,Bubi,Bubi,20,Joshua Mqabuko Nkomo,School,2,69,1,3,18,2,0,95,93
Mat North,Bubi RDC,Bubi,Bubi,20,Pengwani Pry,School,5,238,0,0,25,6,0,274,268
Mat North,Bubi RDC,Bubi,Bubi,20,Mdutshane Primary,School,2,243,0,1,18,12,2,276,264
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,21,Emhlabathini Primary,Tent,4,383,1,4,8,5,0,405,400
Mat North,Bubi RDC,Bubi,Bubi,21,Swati,Hall,1,197,0,2,18,3,0,221,218
Mat North,Bubi RDC,Bubi,Bubi,21,Ehlatin Farm,School,3,144,0,0,7,2,0,156,154
Mat North,Bubi RDC,Bubi,Bubi,21,Alfaalfa Primary,Tent,2,176,0,4,15,4,0,201,197
Mat North,Bubi RDC,Bubi,Bubi,21,Lion's Lodge,Tent,5,154,0,1,3,3,0,166,163
Mat North,Bubi RDC,Bubi,Bubi,21,Dollar Block Farm House,School,2,178,0,0,17,6,0,203,197
Mat North,Bubi RDC,Bubi,Bubi,21,Thame Primary,School,7,344,1,5,16,9,0,382,373
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,22,Elitsheni Primary,Tent,2,72,1,4,15,4,0,98,94
Mat North,Bubi RDC,Bubi,Bubi,22,Central Store,School,4,68,0,1,33,2,0,108,106
Mat North,Bubi RDC,Bubi,Bubi,22,Turkmine Primary,Tent,8,235,5,33,364,36,0,681,645
Mat North,Bubi RDC,Bubi,Bubi,22,Mary Ellen Farm,School,4,54,3,6,46,12,0,125,113
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Bubi RDC,Bubi,Bubi,23,Mucklenuck Primary,School,4,215,0,4,23,14,0,260,246
Mat North,Bubi RDC,Bubi,Bubi,23,Mavikaneni Primary,School,3,170,2,7,14,3,0,199,196
Mat North,Bubi RDC,Bubi,Bubi,23,Famona House,House,4,181,0,2,15,4,0,206,202
Mat North,Bubi RDC,Bubi,Bubi,23,Gravesand House,Tent,2,93,0,3,14,4,0,116,112
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Umguza RDC,Umguza,Bubi,3,Emqwashini Pry,School,19,131,0,30,204,17,0,401,384
Mat North,Umguza RDC,Umguza,Bubi,3,Maqaqeni Pry,School,7,22,0,14,112,6,0,161,155
Mat North,Umguza RDC,Umguza,Bubi,3,Cameroon Pry,School,19,243,2,71,249,29,1,613,584
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Umguza RDC,Umguza,Bubi,10,Dundubala Primary,School,1,230,1,4,9,3,0,248,245
Mat North,Umguza RDC,Umguza,Bubi,10,Sawmill Primary,School,6,86,3,17,74,17,0,203,186
Mat North,Umguza RDC,Umguza,Bubi,10,Mindora Farm,Tent,3,101,0,4,2,3,0,113,110
Mat North,Umguza RDC,Umguza,Bubi,10,Peri 1Creche,Tent,2,25,1,12,22,0,0,62,62
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Umguza RDC,Umguza,Bubi,11,Mqabuko Primary,Tent,1,32,1,3,31,1,0,69,68
Mat North,Umguza RDC,Umguza,Bubi,11,Mathabiswana Primary,Tent,4,29,0,65,176,3,0,277,274
