,RESULTS OF POLL,,,
,"In respect of MAKONI NORTH Constituency, the results are as follows:",,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,Received
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Chigume Paul,M,Independent,435
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Chiro Joseph,M,BZA,186
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Kwangwa Virginia,F,NCA,94
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Mabvepi Muwanga,M,CODE,224
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Manyengawana Moses,M,MDC-Alliance,4941
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Munetsi James,M,ZANU PF,12 189
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Mupfapairi Brighton,M,Independent,468
"In respect of MAKONI NORTH Constituency, the results are as follows:",,,,
"In respect of MAKONI NORTH Constituency, the results are as follows:",Nyawaranda Clever,M,ZIPP,77
"In respect of MAKONI NORTH Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,
Constituency,Name of Candidate,Sex,Party,Votes Received
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Chiwukira Munodaani,M,PPPZ,365
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Gilbert,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Kutiya John,M,MDC-ALLIANCE,9 037
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Mataranyika Dudzai,M,ZANU PF,11 622
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Misheck,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Mukunda David,M,NCA,81
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Mupimbira Misheck,M,FREEZIM,108
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,CONGRESS PARTY,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Murerawanhu Obert,M,ZIPP,130
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Mvundura Itayi,M,PRC,131
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Washington,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",,,,
"In respect of MAKONI SOUTH Constituency, the results are as follows:",Samunumba Anderson,M,# 1980 Chinhu Chedu,67
"In respect of MAKONI SOUTH Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of MAKONI WEST Constituency, the results are as follows:",,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,Received
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",Chinyadza Webber,M,MDC-T,2 507
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",Danha Francis,M,# 1980 Freedom Movement,292
"In respect of MAKONI WEST Constituency, the results are as follows:",,,Zimbabwe,
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",Govha Godfrey,M,MDC-Alliance,4 530
"In respect of MAKONI WEST Constituency, the results are as follows:",Makwasha,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",Kunze Pahwaringira,F,CODE,43
"In respect of MAKONI WEST Constituency, the results are as follows:",Veniah,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",Kwanayi Josphine,F,NCA,58
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",Mukucha Kenneth,M,APC,70
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",Muswere Jenfan,M,ZANU PF,7 772
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",Muteweye Silvester,M,RPZ,51
"In respect of MAKONI WEST Constituency, the results are as follows:",Ndlovu Nhlanhla,M,ZIPP,81
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",,,,
"In respect of MAKONI WEST Constituency, the results are as follows:",Sambo Macdonald,M,PRC,54
"In respect of MAKONI WEST Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of MUSIKAVANHU Constituency, the results are as follows:",,,
Constituency,Name of Candidate,Sex,Party,Votes Received
"In respect of MUSIKAVANHU Constituency, the results are as follows:",,,,
"In respect of MUSIKAVANHU Constituency, the results are as follows:",MURIRE JOSHUA,M,ZANU PF,6 559
"In respect of MUSIKAVANHU Constituency, the results are as follows:",,,,
"In respect of MUSIKAVANHU Constituency, the results are as follows:",,,,
"In respect of MUSIKAVANHU Constituency, the results are as follows:",SIMANGO SIMON,M,PRC,1 029
"In respect of MUSIKAVANHU Constituency, the results are as follows:",,,,
"In respect of MUSIKAVANHU Constituency, the results are as follows:",,,,
"In respect of MUSIKAVANHU Constituency, the results are as follows:",SITHOLE SIFISO,M,MDC-ALLIANCE,6 162
"In respect of MUSIKAVANHU Constituency, the results are as follows:",,,,
"In respect of MUSIKAVANHU Constituency, the results are as follows:",,,,
"In respect of MUSIKAVANHU Constituency, the results are as follows:",MUCHAURAYA,M,INDEPENDENT,1 855
"In respect of MUSIKAVANHU Constituency, the results are as follows:",PISHAI,,,
"In respect of MUSIKAVANHU Constituency, the results are as follows:",,,,
"In respect of MUSIKAVANHU Constituency, the results are as follows:",SITHOLE PAMBUKA,M,NCA,155
"In respect of MUSIKAVANHU Constituency, the results are as follows:",CANFRED,,,
"In respect of MUSIKAVANHU Constituency, the results are as follows:",RESULTS OF POLL,,,
"In respect of MUSIKAVANHU Constituency, the results are as follows:",,,,
,"In respect of MUTARE CENTRAL Constituency,the results are as follows:",,,
Constituency,Name of Candidate,Sex,Party  Votes Received,
"In respect of MUTARE CENTRAL Constituency,the results are as follows:",Chitaka Patrick,M,Independent,192
"In respect of MUTARE CENTRAL Constituency,the results are as follows:",Gonese Innocent Tinashe,M,MDC Alliance,11950
"In respect of MUTARE CENTRAL Constituency,the results are as follows:",Mauya Emmanuel,M,NCA,106
"In respect of MUTARE CENTRAL Constituency,the results are as follows:",Mundembe George,M,Independent,251
"In respect of MUTARE CENTRAL Constituency,the results are as follows:",Mushunje Appross,M,ZIPP,62
"In respect of MUTARE CENTRAL Constituency,the results are as follows:",Mutasa Musiyiwa,F,ZDU,20
"In respect of MUTARE CENTRAL Constituency,the results are as follows:",Porunobva Vengai Allan,M,Coalition of Demo,11
"In respect of MUTARE CENTRAL Constituency,the results are as follows:",Rumhungwe Marvin,M,MDC T,210
"In respect of MUTARE CENTRAL Constituency,the results are as follows:",Simpindi Brian Tendai,M,PRC,50
"In respect of MUTARE CENTRAL Constituency,the results are as follows:",Saungweme Nancy,F,ZANU PF,5684
"In respect of MUTARE CENTRAL Constituency,the results are as follows:",Zimbudzi Nathan,M,Free Zim Congress,33
"In respect of MUTARE CENTRAL Constituency,the results are as follows:",RESULTS OF POLL,,,
,,,,
,"In respect of  MUTARE NORTHConstituency, the results are as follows:",,,
Constituency,Name of Candidate,Sex,Party,Votes Received
"In respect of  MUTARE NORTHConstituency, the results are as follows:",Madiro Michael,M,Zanu PF,6511
"In respect of  MUTARE NORTHConstituency, the results are as follows:",Masiyakurima Agrippa,M,NPF,3229
"In respect of  MUTARE NORTHConstituency, the results are as follows:",Bopela,,,
"In respect of  MUTARE NORTHConstituency, the results are as follows:",Matai Maud Ngonidzashe,F,ZIPP,154
"In respect of  MUTARE NORTHConstituency, the results are as follows:",Matara Pedigree,F,PRC,137
"In respect of  MUTARE NORTHConstituency, the results are as follows:",Munyamana Godfrey,M,MDC Alliance,3962
"In respect of  MUTARE NORTHConstituency, the results are as follows:",National Assembly Election 2018,,,
"In respect of  MUTARE NORTHConstituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,Received
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",Gwazaza Oliver,M,INDEPENDENT,748
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",Jambaya Takunda,M,NCA,470
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",Machikiti Langton,M,PRC,237
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",Mangoyana Haward,M,NPF,449
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",Mapudzi Givemore,M,ZIPP,181
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",Mlambo Nelson,M,ZDU,105
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",Mukundidza Blessing,M,APA,138
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",Ngome Jefry,M,ZANU PF,16 495
"In respect of MUTARE SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTARE SOUTH Constituency, the results are as follows:",Puwai Gashirai,M,ZIPP,182
"In respect of MUTARE SOUTH Constituency, the results are as follows:",Saunyama Robert,M,MDC-ALLIANCE,10 050
"In respect of MUTARE SOUTH Constituency, the results are as follows:","TaruvingaMoreblessing",F,# 1980 CHINHU CHEDU,71
"In respect of MUTARE SOUTH Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of MUTARE WEST Constituency, the results are as follows:",,,
Constituency,Name of Candidate,Sex,Party,Votes Received
"In respect of MUTARE WEST Constituency, the results are as follows:",,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",Marange Israel Smart,M,ZIPP,853
"In respect of MUTARE WEST Constituency, the results are as follows:",,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",Marange Rodwell,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",Shambare,M,INDEPENDENT,550
"In respect of MUTARE WEST Constituency, the results are as follows:",,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",Muchimwe Percy,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",Teedzai,M,ZANU PF,17 871
"In respect of MUTARE WEST Constituency, the results are as follows:",,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",Mudiwa Malvern,M,MDC-ALLIANCE,7 920
"In respect of MUTARE WEST Constituency, the results are as follows:",,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",Mudiwa Shuah,M,PRC,476
"In respect of MUTARE WEST Constituency, the results are as follows:",,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",Munjoma Thomas,M,INDEPENDENT,964
"In respect of MUTARE WEST Constituency, the results are as follows:",,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",Muzama Tariro,M,NCA,116
"In respect of MUTARE WEST Constituency, the results are as follows:",,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",,,,
"In respect of MUTARE WEST Constituency, the results are as follows:",Nhaitai Fungai,M,INDEPENDENT,130
"In respect of MUTARE WEST Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,Received
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",Chikuni Tapiwa Laxon,M,ZDU,297
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",Dzoma Ernest Kuziwa,M,NCA,163
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",Mapenzi Netsayi,F,MDC-T,819
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",Mukura Norman Sarayi,M,ZIPP,99
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",Mwashita Richard,M,Independent,58
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",Sakupwanya Jefter Kuziwa,M,ZANU PF,9 621
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",Saruwaka Trevor Jones,M,MDC-Alliance,11 919
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",Lovelace,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",,,,
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",Tande Confidence,F,FreeZim Congress Party,30
"In respect of MUTASA CENTRAL Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of MUTASA NORTH Constituency, the results are as follows:",,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,Received
"In respect of MUTASA NORTH Constituency, the results are as follows:",,,,
"In respect of MUTASA NORTH Constituency, the results are as follows:",Chideya Shepherd Tapuwa,M,ZIPP,712
"In respect of MUTASA NORTH Constituency, the results are as follows:",,,,
"In respect of MUTASA NORTH Constituency, the results are as follows:",,,,
"In respect of MUTASA NORTH Constituency, the results are as follows:",Chimhini David Antony,M,MDC-Alliance,11635
"In respect of MUTASA NORTH Constituency, the results are as follows:",,,,
"In respect of MUTASA NORTH Constituency, the results are as follows:",,,,
"In respect of MUTASA NORTH Constituency, the results are as follows:",Chiremba John,M,CODE,153
"In respect of MUTASA NORTH Constituency, the results are as follows:",,,,
"In respect of MUTASA NORTH Constituency, the results are as follows:",,,,
"In respect of MUTASA NORTH Constituency, the results are as follows:",Madiwa Chido,F,ZANU PF,11913
"In respect of MUTASA NORTH Constituency, the results are as follows:",,,,
"In respect of MUTASA NORTH Constituency, the results are as follows:",,,,
"In respect of MUTASA NORTH Constituency, the results are as follows:",Masamvu James Tawanda,M,Independent,1060
"In respect of MUTASA NORTH Constituency, the results are as follows:",,,,
"In respect of MUTASA NORTH Constituency, the results are as follows:",,,,
"In respect of MUTASA NORTH Constituency, the results are as follows:",Mudowaya Shadreck Steven,M,MDC-T,0
"In respect of MUTASA NORTH Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,
Constituency,Name of Candidate,Sex,Party  Votes Received,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",Mugadza Misheck,M,ZANU PF,12736
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",Mukarakate Anyway,M,FREEZIM CONGRESS,201
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,PARTY,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",Munyoro Learnmore,M,ZIPP,185
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",Murahwa Daniel,M,PRc,168
"In respect of MUTASA SOUTH Constituency, the results are as follows:",Ngonidzaishe,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",Nyakunu Walter,M,APA,144
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",Sande Patrick,M,ZDU,128
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",,,,
"In respect of MUTASA SOUTH Constituency, the results are as follows:",Tsunga Regai,M,MDC-ALLIANCE,14 783
"In respect of MUTASA SOUTH Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of NYANGA NORTH Constituency, the results are as follows:",,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,Received
"In respect of NYANGA NORTH Constituency, the results are as follows:",,,,
"In respect of NYANGA NORTH Constituency, the results are as follows:",Chatsanga Sarudzai,F,INDEPENDENT,1 967
"In respect of NYANGA NORTH Constituency, the results are as follows:",,,,
"In respect of NYANGA NORTH Constituency, the results are as follows:",,,,
"In respect of NYANGA NORTH Constituency, the results are as follows:",Chibvura Lovemore,M,NPF,362
"In respect of NYANGA NORTH Constituency, the results are as follows:",,,,
"In respect of NYANGA NORTH Constituency, the results are as follows:",,,,
"In respect of NYANGA NORTH Constituency, the results are as follows:",Kapomba Maxwell,M,PRC,212
"In respect of NYANGA NORTH Constituency, the results are as follows:",,,,
"In respect of NYANGA NORTH Constituency, the results are as follows:",,,,
"In respect of NYANGA NORTH Constituency, the results are as follows:",Kicheni Blessing Bruce,M,FREEZIM CONGRESS PARTY,121
"In respect of NYANGA NORTH Constituency, the results are as follows:",,,,
"In respect of NYANGA NORTH Constituency, the results are as follows:",,,,
"In respect of NYANGA NORTH Constituency, the results are as follows:",,,,
"In respect of NYANGA NORTH Constituency, the results are as follows:",,,,
"In respect of NYANGA NORTH Constituency, the results are as follows:",,,,
"In respect of NYANGA NORTH Constituency, the results are as follows:",Matoro Solomon Chenjerai,M,MDC-ALLIANCE,6 750
"In respect of NYANGA NORTH Constituency, the results are as follows:",,,,
"In respect of NYANGA NORTH Constituency, the results are as follows:",,,,
"In respect of NYANGA NORTH Constituency, the results are as follows:",Sanyatwe Chido,F,ZANU PF,14 167
"In respect of NYANGA NORTH Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of NYANGA SOUTH Constituency, the results are as follows:",,,
Constituency,Name of Candidate Sex Party  Votes Received,,,
"In respect of NYANGA SOUTH Constituency, the results are as follows:",,,,
"In respect of NYANGA SOUTH Constituency, the results are as follows:",Kadzima Talent F INDEPENDENT  3 119,F,INDEPENDENT,3119
"In respect of NYANGA SOUTH Constituency, the results are as follows:",,,,
"In respect of NYANGA SOUTH Constituency, the results are as follows:",Mandiwanzira Supa,M,ZANU PF,12 322
"In respect of NYANGA SOUTH Constituency, the results are as follows:",,,,
"In respect of NYANGA SOUTH Constituency, the results are as follows:",Mupotsa Nickson,M,# 1980 CHINHU CHEDU,95
"In respect of NYANGA SOUTH Constituency, the results are as follows:",,,,
"In respect of NYANGA SOUTH Constituency, the results are as follows:",Ngonzwe Webster,M,MDC-T,1114
"In respect of NYANGA SOUTH Constituency, the results are as follows:",,,,
"In respect of NYANGA SOUTH Constituency, the results are as follows:",,,,
"In respect of NYANGA SOUTH Constituency, the results are as follows:",,,,
"In respect of NYANGA SOUTH Constituency, the results are as follows:",,,,
"In respect of NYANGA SOUTH Constituency, the results are as follows:",,,,
"In respect of NYANGA SOUTH Constituency, the results are as follows:",Samanyanga Tonderai,M,MDC-ALLIANCE,7 464
"In respect of NYANGA SOUTH Constituency, the results are as follows:",,,,
"In respect of NYANGA SOUTH Constituency, the results are as follows:",,,,
